Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Cessna,,VMC,,6.0,0.8333333333333334,1.0,Cessna — 182L
Cessna,,VMC,,1.0,0.0,0.0,Cessna — A188
McDonnell Douglas,2,VMC,Standing,75.0,0.013333333333333334,,McDonnell Douglas — DC-9-41
Cessna,,VMC,,4.0,0.0,0.0,Cessna — 182
Cessna,,VMC,,2.0,1.0,1.0,Cessna — U206
Grumman,,VMC,,6.0,0.0,0.0,Grumman — G-73T
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172N
Boeing,4,,,0.0,,0.0,Boeing — 747
Cessna,,VMC,,2.0,1.0,1.0,Cessna — 152
Cessna,1,VMC,Maneuvering,1.0,0.0,0.0,Cessna — 188
Cessna,,VMC,,2.0,0.0,0.0,Cessna — 340A
Piper,,VMC,,3.0,1.0,1.0,Piper — PA-32R-301T
Piper,,VMC,,2.0,1.0,1.0,Piper — PA-38-112
Cessna,2,VMC,Go-around,2.0,0.5,0.0,Cessna — T310R
Cessna,,,,4.0,1.0,1.0,Cessna — U206G
Cessna,1,VMC,Go-around,5.0,0.2,0.0,Cessna — 182A
Cessna,,VMC,,6.0,1.0,1.0,Cessna — TU206G
McDonnell Douglas,,VMC,,5.0,0.0,0.0,McDonnell Douglas — DC-10-40F
Cessna,,VMC,,4.0,1.0,1.0,Cessna — 172
Ercoupe,1,VMC,Takeoff,2.0,0.0,0.0,Ercoupe — ERCO-415-E
McDonnell Douglas,2,VMC,Landing,123.0,0.0,0.0,McDonnell Douglas — DC-9-82
Beech,1,VMC,Landing,1.0,0.0,0.0,Beech — A-23-23
Piper,2,VMC,Landing,1.0,0.0,0.0,Piper — PA-34
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-J3-C65
Aero Commander,1,VMC,Approach,1.0,1.0,0.0,Aero Commander — CALLAIR A-9B
Cessna,1,VMC,Takeoff,2.0,0.0,0.0,Cessna — 150H
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 188B
Grumman,1,VMC,Maneuvering,1.0,0.0,0.0,Grumman — G-164
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 172N
Cessna,1,VMC,Landing,3.0,0.0,0.0,Cessna — 182A
Cessna,,VMC,,6.0,1.0,1.0,Cessna — 206
Cessna,,VMC,,6.0,1.0,1.0,Cessna — T210M
Air Tractor,1,VMC,Maneuvering,1.0,0.0,0.0,Air Tractor — AT-301
Cessna,,VMC,,6.0,0.0,0.0,Cessna — T210N
Cessna,,VMC,,3.0,0.3333333333333333,0.0,Cessna — 172N
Piper,1,VMC,Takeoff,1.0,0.0,0.0,Piper — PA-25-235
Bellanca,1,VMC,Cruise,1.0,0.0,0.0,Bellanca — BL-17-30A
Cessna,1,VMC,Approach,4.0,1.0,0.0,Cessna — A185F
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA-28-161
Cessna,1,VMC,Taxi,2.0,0.5,,Cessna — 120
Cessna,,VMC,,5.0,1.0,1.0,Cessna — 310R
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 150G
Aviat,1,VMC,Landing,2.0,0.0,0.0,Aviat — A-1
Cessna,1,VMC,Maneuvering,1.0,0.0,0.0,Cessna — 188B
Cessna,1,VMC,Cruise,5.0,0.0,1.0,Cessna — 182
Mooney,1,VMC,Takeoff,1.0,1.0,1.0,Mooney — M20E
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182E
Bellanca,,VMC,,2.0,1.0,1.0,Bellanca — 17-30
De Havilland,2,VMC,Descent,33.0,0.0,0.0,De Havilland — DHC-8-102
Cessna,,VMC,,4.0,1.0,1.0,Cessna — 182F
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 180
